,0,1,2,4,5,6,7,8,9,Petrol,Diesel,CNG
0,13500,23,46986,90,1,0,2000,3,1165,0,1,0
1,13750,23,72937,90,1,0,2000,3,1165,0,1,0
2,13950,24,41711,90,1,0,2000,3,1165,0,1,0
3,14950,26,48000,90,0,0,2000,3,1165,0,1,0
4,13750,30,38500,90,0,0,2000,3,1170,0,1,0
5,12950,32,61000,90,0,0,2000,3,1170,0,1,0
6,16900,27,94612,90,1,0,2000,3,1245,0,1,0
7,18600,30,75889,90,1,0,2000,3,1245,0,1,0
8,21500,27,19700,192,0,0,1800,3,1185,1,0,0
9,12950,23,71138,69,0,0,1900,3,1105,0,1,0
10,20950,25,31461,192,0,0,1800,3,1185,1,0,0
11,19950,22,43610,192,0,0,1800,3,1185,1,0,0
12,19600,25,32189,192,0,0,1800,3,1185,1,0,0
13,21500,31,23000,192,1,0,1800,3,1185,1,0,0
14,22500,32,34131,192,1,0,1800,3,1185,1,0,0
15,22000,28,18739,192,0,0,1800,3,1185,1,0,0
16,22750,30,34000,192,1,0,1800,3,1185,1,0,0
17,17950,24,21716,110,1,0,1600,3,1105,1,0,0
18,16750,24,25563,110,0,0,1600,3,1065,1,0,0
19,16950,30,64359,110,1,0,1600,3,1105,1,0,0
20,15950,30,67660,110,1,0,1600,3,1105,1,0,0
21,16950,29,43905,110,0,1,1600,3,1170,1,0,0
22,15950,28,56349,110,1,0,1600,3,1120,1,0,0
23,16950,28,32220,110,1,0,1600,3,1120,1,0,0
24,16250,29,25813,110,1,0,1600,3,1120,1,0,0
25,15950,25,28450,110,1,0,1600,3,1120,1,0,0
26,17495,27,34545,110,1,0,1600,3,1120,1,0,0
27,15750,29,41415,110,1,0,1600,3,1120,1,0,0
28,16950,28,44142,110,0,0,1600,3,1120,1,0,0
29,17950,30,11090,110,1,0,1600,3,1120,1,0,0
30,12950,29,9750,97,1,0,1400,3,1100,1,0,0
31,15750,22,35199,97,1,0,1400,3,1100,1,0,0
32,15950,27,29510,97,1,0,1400,3,1100,1,0,0
33,14950,26,32692,97,1,0,1400,3,1100,1,0,0
34,15500,22,41000,97,1,0,1400,3,1100,1,0,0
35,15750,26,43000,97,0,0,1400,3,1100,1,0,0
36,15950,25,25000,97,0,0,1400,3,1100,1,0,0
37,14950,23,10000,97,1,0,1400,3,1100,1,0,0
38,15750,32,25329,97,1,0,1400,3,1100,1,0,0
